P1,P2,Pi,C1,C2,Ci
,,0,9152,8927,0
9152,8927,0,9646,8927,1
9152,8927,1,8775,8927,2
9152,8927,2,1892,8927,3
9152,8927,3,9518,8927,4
9152,8927,4,9178,8927,5
1892,8927,5,1892,1278,6
9518,8927,5,9518,1278,6
8775,8927,5,8775,1278,6
9152,8927,5,9152,1278,6
9178,8927,5,9178,1278,6
9518,8927,6,9518,8915,7
9152,8927,6,9152,8915,7
9178,1278,7,9178,8972,8
9152,1278,7,9152,8972,8
9152,8972,8,9152,8973,9
8775,1278,9,8775,9953,10
9152,1278,9,9152,9953,10
9178,1278,9,9178,9953,10
9646,8927,10,9646,1256,11
9152,8927,10,9152,1256,11
9152,8972,11,9152,1239,12
9152,1278,12,9152,9960,13
9152,8972,13,9152,8900,14
9646,8927,14,9646,7635,15
9152,8927,14,9152,7635,15
9152,9953,15,9152,9925,16
8775,9953,15,8775,9925,16
9152,9953,16,9152,6766,17
9152,8927,17,9152,9292,18
9152,1278,18,6663,1278,19
9152,8972,18,6663,8972,19
9152,9953,18,6663,9953,19
9152,9292,18,6663,9292,19
9152,8915,18,6663,8915,19
9152,9960,18,6663,9960,19
9152,8927,18,6663,8927,19
6663,8972,19,6663,9440,20
9152,8972,19,9152,9440,20
9152,9925,20,9152,120,21
6663,8927,21,6663,9492,22
9646,8927,21,9646,9492,22
9152,8927,21,9152,9492,22
6663,1278,22,6663,8936,23
9152,1278,22,9152,8936,23
9152,9953,23,9152,9438,24
9178,8972,24,9178,5059,25
6663,8972,24,6663,5059,25
9152,8972,24,9152,5059,25
9152,1278,25,9152,8981,26
6663,1278,25,6663,8981,26
9152,5059,26,468,5059,27
9152,9292,26,468,9292,27
9152,8981,26,468,8981,27
9152,9953,26,468,9953,27
9152,8927,26,468,8927,27
9152,9440,26,468,9440,27
9152,8972,26,468,8972,27
9152,9492,26,468,9492,27
9152,8915,26,468,8915,27
9152,1278,26,468,1278,27
9152,1278,27,8807,1278,28
9152,9953,27,8807,9953,28
9152,1278,28,8890,1278,29
9152,9953,28,8890,9953,29
9152,9953,29,9152,8995,30
9152,5059,30,9117,5059,31
9152,8995,30,9117,8995,31
9152,9438,30,9117,9438,31
9152,1278,30,9117,1278,31
9152,8972,30,9117,8972,31
9152,9953,30,9117,9953,31
9152,8936,30,9117,8936,31
9152,9925,30,9117,9925,31
9152,9960,30,9117,9960,31
9152,8981,30,9117,8981,31
468,1278,31,468,9433,32
9518,1278,31,9518,9433,32
6663,1278,31,6663,9433,32
9152,1278,31,9152,9433,32
9117,1278,31,9117,9433,32
1892,1278,31,1892,9433,32
9152,1256,32,9152,2359,33
9152,8915,33,4031,8915,34
9152,8972,33,4031,8972,34
9152,9433,33,4031,9433,34
9152,9953,33,4031,9953,34
9152,1278,33,4031,1278,34
9152,9960,33,4031,9960,34
9152,9440,33,4031,9440,34
9152,8936,33,4031,8936,34
9152,8981,33,4031,8981,34
9152,9953,34,9099,9953,35
9152,5059,34,9099,5059,35
9152,8936,34,9099,8936,35
9152,8927,34,9099,8927,35
9152,1278,34,9099,1278,35
9152,8972,34,9099,8972,35
9152,8981,34,9099,8981,35
9152,8915,34,9099,8915,35
9152,9433,34,9099,9433,35
9152,9440,34,9099,9440,35
9152,9492,35,9152,9458,36
9152,8972,36,9152,2582,37
6663,8972,36,6663,2582,37
9117,9953,37,9117,7954,38
9152,9953,37,9152,7954,38
9152,2582,38,9167,2582,39
9152,1239,38,9167,1239,39
9152,9492,38,9167,9492,39
9152,8936,38,9167,8936,39
9152,5059,38,9167,5059,39
9152,9292,38,9167,9292,39
9152,1278,38,9167,1278,39
9152,8973,38,9167,8973,39
9152,9433,38,9167,9433,39
9152,8915,38,9167,8915,39
9152,8927,38,9167,8927,39
9152,8981,38,9167,8981,39
9152,8972,38,9167,8972,39
9152,9440,38,9167,9440,39
9152,8900,38,9167,8900,39
9152,9953,38,9167,9953,39
6663,9433,39,2186,9433,40
6663,8972,39,2186,8972,40
6663,9440,39,2186,9440,40
6663,8981,39,2186,8981,40
