pers,saddleIdx,merged,parent
2.30885000e-03,1.00000000e+00,1.23300000e+03,8.91500000e+03
5.21660000e-03,0.00000000e+00,9.11600000e+03,6.66300000e+03
6.06441000e-03,0.00000000e+00,5.90000000e+01,9.15200000e+03
7.06100000e-03,1.00000000e+00,8.15300000e+03,3.46100000e+03
7.22599000e-03,1.00000000e+00,5.98300000e+03,8.97200000e+03
1.20354000e-02,0.00000000e+00,4.09800000e+03,6.66300000e+03
1.21574000e-02,0.00000000e+00,8.17300000e+03,9.15200000e+03
1.25465000e-02,0.00000000e+00,1.31200000e+03,9.15200000e+03
1.52283000e-02,0.00000000e+00,6.61600000e+03,2.18600000e+03
1.62487000e-02,1.00000000e+00,4.30000000e+01,8.91500000e+03
1.62983000e-02,0.00000000e+00,2.04500000e+03,9.15200000e+03
1.67027000e-02,1.00000000e+00,1.21600000e+03,8.98100000e+03
1.73712000e-02,0.00000000e+00,9.26900000e+03,9.15200000e+03
1.93405000e-02,1.00000000e+00,5.42800000e+03,8.92700000e+03
1.96314000e-02,0.00000000e+00,7.88000000e+02,6.65800000e+03
1.97763000e-02,0.00000000e+00,6.63900000e+03,9.15200000e+03
2.15597000e-02,0.00000000e+00,3.98300000e+03,9.65000000e+03
2.31485000e-02,0.00000000e+00,6.60600000e+03,9.15200000e+03
2.53448000e-02,1.00000000e+00,3.46100000e+03,8.97300000e+03
2.91281000e-02,0.00000000e+00,7.50000000e+02,2.18600000e+03
3.02820000e-02,0.00000000e+00,8.27300000e+03,9.15200000e+03
3.08628000e-02,1.00000000e+00,4.80000000e+02,1.25600000e+03
3.21388000e-02,0.00000000e+00,5.44100000e+03,9.15000000e+03
3.21798000e-02,0.00000000e+00,8.87400000e+03,6.66300000e+03
3.27835000e-02,1.00000000e+00,2.55900000e+03,9.96000000e+03
3.53451000e-02,0.00000000e+00,2.17900000e+03,6.66300000e+03
3.65028000e-02,1.00000000e+00,7.85500000e+03,8.92700000e+03
3.67060000e-02,1.00000000e+00,6.97300000e+03,9.92500000e+03
3.81088000e-02,1.00000000e+00,9.49800000e+03,9.95300000e+03
3.94297000e-02,1.00000000e+00,2.85200000e+03,8.97300000e+03
4.09803000e-02,1.00000000e+00,3.41100000e+03,1.25600000e+03
4.26884000e-02,0.00000000e+00,6.65800000e+03,2.18600000e+03
4.33064000e-02,0.00000000e+00,7.27000000e+02,9.15200000e+03
4.59280000e-02,0.00000000e+00,4.00400000e+03,9.09900000e+03
4.95253000e-02,0.00000000e+00,9.15000000e+03,9.15200000e+03
5.00803000e-02,0.00000000e+00,8.80400000e+03,9.11700000e+03
5.04646000e-02,0.00000000e+00,7.69900000e+03,9.15200000e+03
5.27067000e-02,1.00000000e+00,3.73200000e+03,8.97200000e+03
5.37577000e-02,0.00000000e+00,9.65000000e+03,6.66300000e+03
5.60446000e-02,0.00000000e+00,6.33400000e+03,9.15200000e+03
5.75285000e-02,0.00000000e+00,8.06800000e+03,2.18600000e+03
5.97754000e-02,0.00000000e+00,2.29300000e+03,9.15200000e+03
6.05736000e-02,1.00000000e+00,1.25900000e+03,8.91500000e+03
