pers,saddleIdx,merged,parent
0.0162487,1637,43,8915
0.206833,9915,120,9925
0.0308628,7159,480,1256
0.0167027,9937,1216,8981
0.00230885,1248,1233,8915
0.373795,184,1239,8972
0.398844,8990,1256,8927
0.0605736,1287,1259,8915
0.778017,9957,1278,8927
0.0992661,97,2359,1256
0.0327835,2845,2559,9960
0.0765057,6174,2582,8972
0.0394297,7165,2852,8973
0.0409803,651,3411,1256
0.0253448,8729,3461,8973
0.0527067,3113,3732,8972
0.161036,1241,5059,8972
0.0193405,5408,5428,8927
0.00722599,6103,5983,8972
0.267169,4689,6766,9953
0.036706,9931,6973,9925
0.28548,4616,7635,8927
0.0365028,2360,7855,8927
0.0743666,3268,7954,9953
0.007061,7180,8153,3461
0.0617733,6648,8810,9492
0.317771,4439,8900,8972
0.546286,4473,8915,8927
0.197191,9994,8936,1278
0.51499,1210,8972,1278
0.469135,184,8973,8972
0.147289,1210,8981,1278
0.120602,5524,8995,9953
0.248305,9075,9292,8927
0.103222,1217,9433,1278
0.189375,141,9438,9953
0.207058,1241,9440,8972
0.0766983,4447,9458,9492
0.203968,9443,9492,8927
0.0381088,128,9498,9953
0.282787,9952,9925,9953
0.443239,6934,9953,1278
0.372049,194,9960,1278
