P1,P2,C1,C2
,,9152,8927
9152,8927,9646,8927
9152,8927,8775,8927
9152,8927,1892,8927
9152,8927,9518,8927
9152,8927,9178,8927
9152,8927,9152,1278
9518,8927,9518,1278
9178,8927,9178,1278
8775,8927,8775,1278
1892,8927,1892,1278
9152,8927,9152,8915
9518,8927,9518,8915
9178,1278,9178,8972
9152,1278,9152,8972
9152,8972,9152,8973
8775,1278,8775,9953
9178,1278,9178,9953
9152,1278,9152,9953
9152,8927,9152,1256
9646,8927,9646,1256
9152,8972,9152,1239
9152,1278,9152,9960
9152,8972,9152,8900
9152,8927,9152,7635
9646,8927,9646,7635
8775,9953,8775,9925
9152,9953,9152,9925
9152,9953,9152,6766
9152,8927,9152,9292
9152,8915,6663,8915
9152,8927,6663,8927
9152,9960,6663,9960
9152,1278,6663,1278
9152,8972,6663,8972
9152,9292,6663,9292
9152,9953,6663,9953
6663,8972,6663,9440
9152,8972,9152,9440
9152,9925,9152,120
6663,8927,6663,9492
9646,8927,9646,9492
9152,8927,9152,9492
6663,1278,6663,8936
9152,1278,9152,8936
9152,9953,9152,9438
9178,8972,9178,5059
9152,8972,9152,5059
6663,8972,6663,5059
9152,1278,9152,8981
6663,1278,6663,8981
9152,1278,468,1278
9152,5059,468,5059
9152,8981,468,8981
9152,9492,468,9492
9152,8972,468,8972
9152,9292,468,9292
9152,8927,468,8927
9152,9953,468,9953
9152,9440,468,9440
9152,8915,468,8915
9152,1278,8807,1278
9152,9953,8807,9953
9152,9953,8890,9953
9152,1278,8890,1278
9152,9953,9152,8995
9152,9925,9117,9925
9152,9953,9117,9953
9152,5059,9117,5059
9152,8936,9117,8936
9152,8995,9117,8995
9152,1278,9117,1278
9152,9960,9117,9960
9152,9438,9117,9438
9152,8981,9117,8981
9152,8972,9117,8972
9152,1278,9152,9433
9117,1278,9117,9433
1892,1278,1892,9433
468,1278,468,9433
9518,1278,9518,9433
6663,1278,6663,9433
9152,1256,9152,2359
9152,8915,4031,8915
9152,9953,4031,9953
9152,8936,4031,8936
9152,8981,4031,8981
9152,9433,4031,9433
9152,8972,4031,8972
9152,1278,4031,1278
9152,9960,4031,9960
9152,9440,4031,9440
9152,5059,9099,5059
9152,9953,9099,9953
9152,8936,9099,8936
9152,8915,9099,8915
9152,8927,9099,8927
9152,9433,9099,9433
9152,8972,9099,8972
9152,1278,9099,1278
9152,8981,9099,8981
9152,9440,9099,9440
9152,9492,9152,9458
9152,8972,9152,2582
6663,8972,6663,2582
9117,9953,9117,7954
9152,9953,9152,7954
9152,9953,9167,9953
9152,1239,9167,1239
9152,9440,9167,9440
9152,9433,9167,9433
9152,1278,9167,1278
9152,9492,9167,9492
9152,8927,9167,8927
9152,2582,9167,2582
9152,8981,9167,8981
9152,8900,9167,8900
9152,9292,9167,9292
9152,8915,9167,8915
9152,8936,9167,8936
9152,5059,9167,5059
9152,8972,9167,8972
9152,8973,9167,8973
6663,9960,2186,9960
6663,1278,2186,1278
6663,9953,2186,9953
6663,9440,2186,9440
6663,9433,2186,9433
6663,5059,2186,5059
6663,8981,2186,8981
6663,8972,2186,8972
6663,8936,2186,8936
6663,8915,2186,8915
9152,8972,2616,8972
9152,1239,2616,1239
9152,1256,2616,1256
4031,8936,9512,8936
4031,9433,9512,9433
4031,1278,9512,1278
4031,8915,9512,8915
4031,9440,9512,9440
4031,8981,9512,8981
9152,9492,9152,8810
9167,8915,9167,1259
6663,8915,6663,1259
2186,8915,2186,1259
9152,9925,2293,9925
9152,120,2293,120
9152,8995,2293,8995
2186,1278,8068,1278
2186,8972,8068,8972
2186,8981,8068,8981
2186,9960,8068,9960
2186,9440,8068,9440
2186,8936,8068,8936
9152,9440,6334,9440
9152,8915,6334,8915
9152,8927,6334,8927
9152,5059,6334,5059
9152,9433,6334,9433
6663,8981,9650,8981
6663,1278,9650,1278
6663,8972,9650,8972
6663,8915,9650,8915
6663,8927,9650,8927
6663,9292,9650,9292
